iter	RMSE
0	1.33859967
1	1.251384373
2	1.17849675
3	1.106439557
4	1.034783847
5	0.9746295253
6	0.9261788101
7	0.8798421116
8	0.8375498294
9	0.7964255192
10	0.7684811304
11	0.7439040838
12	0.7156308127
13	0.6931470695
14	0.6724680955
15	0.6543881781
16	0.6357430069
17	0.6170036097
18	0.600238344
19	0.5847618602
20	0.568804926
21	0.5570326196
22	0.5456727147
23	0.5340545933
24	0.5259561835
25	0.5180385441
26	0.5116916895
27	0.5036693078
28	0.4964525162
29	0.4899188192
30	0.4837521773
31	0.4754650992
32	0.4680430322
33	0.4629079021
34	0.4590921111
35	0.4530441995
36	0.4471709579
37	0.4419966551
38	0.4384878105
39	0.4336160988
40	0.4304947412
41	0.4272021703
42	0.4232924671
43	0.4186249942
44	0.4139041981
45	0.4114586764
46	0.4077785865
47	0.4051173724
48	0.4037464336
49	0.4014093373
50	0.3972649153
51	0.393725561
52	0.3913752866
53	0.3886957163
54	0.3874163822
55	0.3826748369
56	0.3816655056
57	0.3777064308
58	0.3749899688
59	0.3713210389
60	0.3703017778
61	0.3683315357
62	0.367586606
63	0.3645485391
64	0.3629097387
65	0.3586742936
66	0.3558913126
67	0.3514450885
68	0.3502792082
69	0.3495963104
70	0.3477916326
71	0.3425153001
72	0.3399905163
73	0.3382285098
74	0.3347776553
75	0.3326364988
76	0.330452804
77	0.3269025409
78	0.3235676651
79	0.3213545067
80	0.3205487676
81	0.316217271
82	0.3135039938
83	0.3105781232
84	0.3074454562
85	0.3063266604
86	0.3056527517
87	0.3018460608
88	0.3000722081
89	0.2968764491
90	0.2944156206
91	0.2939012678
92	0.2911805641
93	0.2902102554
94	0.2863735875
95	0.2857671699
96	0.2846497504
97	0.2841492573
98	0.282269417
99	0.2795287241
