iter	Passed	Remaining
0	1	129
1	2	117
2	3	121
3	5	125
4	6	120
5	7	113
6	8	108
7	9	109
8	10	106
9	11	107
10	13	107
11	14	107
12	15	103
13	16	101
14	17	99
15	18	97
16	19	96
17	20	95
18	22	95
19	23	94
20	24	93
21	26	93
22	27	91
23	28	90
24	29	88
25	30	87
26	32	87
27	33	86
28	34	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	45	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	67
43	52	66
44	53	64
45	54	63
46	55	62
47	56	60
48	56	59
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	63	51
55	63	50
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	14
86	93	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
